item_id,raid,boss,item_name,p1,p2,p3,notes,tags
30056,Serpentshrine Cavern,Hydross the Unstable,Robe of Hateful Echoes,,,,,
32516,Serpentshrine Cavern,Hydross the Unstable,Wraps of Purification,Holy Priest,Resto Druid,Resto Shaman / Holy Paladin,"Cloth healer BiS. Priest first, then Druid, then Shaman, then Paladin.","healer, cloth, priest, druid, shaman, paladin"
30050,Serpentshrine Cavern,Hydross the Unstable,Boots of the Shifting Nightmare,Warlock,,,"Very strong for Warlocks, closer to crafted boots than many players realise. Prefer Warlocks before Shadow Priests.","warlock, caster"
30055,Serpentshrine Cavern,Hydross the Unstable,Shoulderpads of the Stranger,,,,,
30047,Serpentshrine Cavern,Hydross the Unstable,Blackfathom Warbands,Holy Paladin,Resto Shaman,,Better relative upgrade for Holy Paladin than Shaman.,"paladin, shaman, healer"
30054,Serpentshrine Cavern,Hydross the Unstable,Ranger-General's Chestguard,DPS Warrior,Ret Paladin,Enhancement Shaman,"Not BiS, but still a real temporary upgrade. Hunters generally keep Beast Lord until 4pc T5.","warrior, ret, enhance, temp"
30048,Serpentshrine Cavern,Hydross the Unstable,Brighthelm of Justice,Holy Paladin,,,"Simple assignment, Holy Paladin.","holy paladin, healer"
30053,Serpentshrine Cavern,Hydross the Unstable,Pauldrons of the Wardancer,DPS Warrior,Ret Paladin,,Very close to BiS. Warrior before Ret because Ret should prefer Shoulderguards of the Stranger.,"warrior, ret"
30052,Serpentshrine Cavern,Hydross the Unstable,Ring of Lethality,Rogue / Hunter,Other hit-needy agility users,,Mainly Rogue and Hunter. The transcript treats them as roughly equal priority.,"rogue, hunter, agility"
33055,Serpentshrine Cavern,Hydross the Unstable,Band of Vile Aggression,Prot Warrior / Bear,,,Situational threat-set ring. Use only if the tank actually wants it.,"tank, threat, bear, warrior"
30664,Serpentshrine Cavern,Hydross the Unstable,Living Root of the Wildheart,,,,,
30629,Serpentshrine Cavern,Hydross the Unstable,Scarab of Displacement,,,,,
30049,Serpentshrine Cavern,Hydross the Unstable,Fathomstone,Warlock,,,"Only clear BiS target mentioned is Warlock. Small upgrade, not a huge deal.","warlock, trinket"
30051,Serpentshrine Cavern,Hydross the Unstable,Idol of the Crescent Goddess,,,,,
30064,Serpentshrine Cavern,The Lurker Below,Cord of Screaming Terrors,,,,,
30067,Serpentshrine Cavern,The Lurker Below,Velvet Boots of the Guardian,Arcane Mage,Elemental Shaman,,"BiS for Arcane Mage and Elemental Shaman. Slight paper edge to Arcane Mage, though fairness could favour Ele first.","mage, elemental, caster"
30062,Serpentshrine Cavern,The Lurker Below,Grove-Bands of Remulos,,,,,
30060,Serpentshrine Cavern,The Lurker Below,Boots of Effortless Striking,Bear Tank,,,"Not especially good, but Bears can use them as a stamina option.","bear, tank, feral"
30066,Serpentshrine Cavern,The Lurker Below,Tempest-Strider Boots,Resto Shaman,Holy Paladin,,"Not true BiS, but usable on long fights. Resto Shaman before Holy Paladin.","shaman, paladin, healer"
